Unnamed: 0,timestamp,product_id,estimated_stock_pct,quantity,temperature,category,unit_price
7258,2022-03-05 16:00:00,707e4237-191c-4cc9-85af-383a6c1cb2ab,0.125,3.2125855885229866,-0.0513677811550152,cleaning products,16.99
5648,2022-03-04 16:00:00,26583d39-21dd-4404-9f95-ceda18a26be4,0.3933333333333333,3.2125855885229866,-0.7295779220779222,baking,7.99
10241,2022-03-07 15:00:00,ec0bb9b5-45e3-4de8-963d-e92aa91a201e,0.57,3.2125855885229866,-0.9438484848484848,condiments and sauces,5.49
6864,2022-03-05 13:00:00,c62461d4-0add-4b63-bd67-5b9713078bfe,0.57,3.2125855885229866,0.6710204081632654,packaged foods,5.49
9965,2022-03-07 14:00:00,0cb046e3-a86b-47ae-9751-3b0f9c596f99,0.665,3.2125855885229866,-0.1055704697986577,pets,11.19
7952,2022-03-06 10:00:00,7ad89727-c11d-4dc6-b14f-640c23c872f1,0.71,3.2125855885229866,-0.3654071661237785,frozen,7.19
401,2022-03-01 11:00:00,ad81b46c-bf38-41cf-9b54-5fe7f5eba93e,0.2433333333333333,4.0,-0.56,fruit,3.99
4600,2022-03-03 19:00:00,b4c404b8-6075-4b35-8b87-976e4ce3abd0,0.7,2.0,-0.7511858974358974,seafood,18.19
1631,2022-03-02 09:00:00,c960c99a-0887-4e2c-aff6-fe02364c0024,0.8,3.2125855885229866,-0.6729003021148036,snacks,4.49
2252,2022-03-02 14:00:00,2d2a0893-437e-4e57-94cf-d60deef4fcb5,0.2,3.2125855885229866,-0.7615593220338983,personal care,5.49
8866,2022-03-06 17:00:00,0f0341de-4b99-43bf-b4bb-f60af2131d68,0.425,3.2125855885229866,-0.5403174603174603,baking,2.99
5700,2022-03-04 16:00:00,8653ceaf-6e7f-498c-b8ca-5a6bb6a15dae,0.43,3.2125855885229866,-0.7295779220779222,spices and herbs,2.49
10410,2022-03-07 17:00:00,105cd760-f823-4979-ae23-e2c6d3f6bc2e,0.63,3.2125855885229866,-0.0039877300613496,condiments and sauces,9.99
9957,2022-03-07 14:00:00,02b1a5a2-cd74-4e64-80f0-4667372bc394,0.51,3.2125855885229866,-0.1055704697986577,condiments and sauces,7.99
3544,2022-03-03 12:00:00,3e417ee2-f68c-4042-9f0e-b89ff3f14f62,0.575,4.0,0.982,packaged foods,7.19
6595,2022-03-05 11:00:00,c6a1bffa-3aa9-42ec-a137-7be02834c373,0.51,3.2125855885229866,-0.2630555555555555,pets,11.99
6384,2022-03-05 10:00:00,3bc41fec-bf85-4354-b832-d56751d2f283,0.91,4.0,-0.6570819672131148,meat,11.99
8198,2022-03-06 12:00:00,3bc41fec-bf85-4354-b832-d56751d2f283,0.58,3.2125855885229866,0.6529874213836478,meat,11.99
5650,2022-03-04 16:00:00,2913e825-a4cb-4ad7-8dbf-387af8a379ae,0.12,3.2125855885229866,-0.7295779220779222,refrigerated items,5.99
4913,2022-03-04 11:00:00,03a2557a-aa12-4add-a6d4-77dc36342067,0.42,3.2125855885229866,-0.1722128851540616,baking,5.99
5943,2022-03-04 18:00:00,3061055c-3ff5-4208-8041-5ae0edb3d94d,0.79,5.0,-0.06421926910299,meat,16.19
2067,2022-03-02 12:00:00,e8e2570a-283e-41f4-9938-589217280f22,0.58,3.2125855885229866,0.341860465116279,meat,8.99
4083,2022-03-03 16:00:00,0f493675-d59d-45dd-9406-084932bf41c1,0.42,4.0,0.1361514195583596,kitchen,13.19
1599,2022-03-02 09:00:00,8d4e9112-8a1c-4263-b493-9731d04facd6,0.37,3.2125855885229866,-0.6729003021148036,kitchen,10.19
4843,2022-03-04 10:00:00,7f478817-aa5b-44e9-9059-8045228c9eb0,0.26,5.0,1.0712881355932202,meat,11.49
5559,2022-03-04 15:00:00,7bca9562-cea2-4f23-9ea0-14b532531af2,0.52,3.2125855885229866,-1.0840390879478827,personal care,10.99
8292,2022-03-06 12:00:00,e210b4dd-ae57-4327-a6fb-1ab0ab8f60a2,0.91,3.2125855885229866,0.6529874213836478,baked goods,8.49
5358,2022-03-04 14:00:00,0f493675-d59d-45dd-9406-084932bf41c1,0.87,1.0,-1.028732876712329,kitchen,13.19
1405,2022-03-01 19:00:00,212740e6-e5ff-4aeb-9924-bccc96ba0ab1,0.81,1.0,0.5083333333333333,spices and herbs,3.49
809,2022-03-01 14:00:00,b40062ea-e0be-41a7-b3b4-258416575039,0.26,3.2125855885229866,0.8169688385269122,beverages,7.49
2029,2022-03-02 12:00:00,9544c762-4800-4bf0-af5a-564dbc1b1aef,0.76,3.2125855885229866,0.341860465116279,pets,9.49
3400,2022-03-03 11:00:00,38392484-76da-4399-99b0-3f05dbe2cb83,0.5475,3.2125855885229866,-0.6946557377049181,seafood,19.19
8051,2022-03-06 11:00:00,2c769073-9748-4623-87c0-7fae1a1e64d9,0.97,3.2125855885229866,-1.4038,frozen,11.99
10740,2022-03-07 19:00:00,3fbf5c52-e83a-4476-8475-07ce81e1bdb8,0.765,3.2125855885229866,-0.1650773993808049,snacks,3.99
8471,2022-03-06 14:00:00,34b5e479-bbf6-46ce-9af8-5425f4bca83e,0.98,3.2125855885229866,-0.2940066225165562,cleaning products,17.19
1702,2022-03-02 10:00:00,4111902b-5c4f-4f6f-8768-557f1ca3f8d4,0.55,3.2125855885229866,-0.8568403908794788,seafood,12.99
4373,2022-03-03 18:00:00,29110d35-9473-4ae4-b971-0fb62825aa9a,0.42,3.2125855885229866,-0.0972622478386167,packaged foods,6.19
3043,2022-03-02 19:00:00,c6aa6abb-3bad-4111-96ac-baf7d0a91195,0.54,3.2125855885229866,-1.1909748427672957,meat,12.19
6363,2022-03-05 10:00:00,1a98e37e-9c10-43a5-be3e-860555a09cec,0.78,3.2125855885229866,-0.6570819672131148,packaged foods,6.19
3991,2022-03-03 15:00:00,4c529bbb-2443-43c7-806d-6e09c86ea578,0.02,3.2125855885229866,-0.4180677966101694,vegetables,4.49
9582,2022-03-07 11:00:00,3c5686eb-27fd-4ff2-80a5-975cc1898d40,0.15,3.2125855885229866,-1.8472696245733788,refrigerated items,6.49
4475,2022-03-03 18:00:00,cc3a1429-09d7-4ded-bec3-7d90d1b344fc,0.38,3.2125855885229866,-0.0972622478386167,refrigerated items,6.99
4337,2022-03-03 17:00:00,e3dcd026-ef70-4bcf-8e77-71d6740f042d,0.98,1.0,0.6215189873417721,baked goods,10.49
1880,2022-03-02 11:00:00,7f478817-aa5b-44e9-9059-8045228c9eb0,0.49,3.2125855885229866,-0.2682978723404255,meat,11.49
5766,2022-03-04 17:00:00,03f0b20e-3b5b-444f-bc39-cdfa2523d4bc,0.4,3.0,-0.2955821917808219,pets,8.19
2692,2022-03-02 17:00:00,4a5b62f3-755f-4b82-9eaa-2e124d02d203,0.81,3.2125855885229866,-0.4075666666666666,refrigerated items,10.99
9391,2022-03-07 09:00:00,e68648ff-db44-49e8-849c-6ca52be5eacc,0.59,3.2125855885229866,0.3782142857142857,snacks,0.49
6623,2022-03-05 12:00:00,0cb046e3-a86b-47ae-9751-3b0f9c596f99,0.36,3.2125855885229866,0.1604294478527606,pets,11.19
6825,2022-03-05 13:00:00,7db29f14-00ad-4f09-bbce-ea391de6d675,0.22,3.2125855885229866,0.6710204081632654,condiments and sauces,3.99
8016,2022-03-06 10:00:00,f01b189c-6345-4639-a8d1-89e1fc67c443,0.33,2.0,-0.3654071661237785,meat,14.99
3290,2022-03-03 10:00:00,7b3efcb0-d2c6-4155-997f-758d80922ae6,0.205,3.2125855885229866,-1.183356890459364,baby products,7.19
6705,2022-03-05 12:00:00,9ed419c7-391a-4b1a-87d9-b311ebe93c75,0.14,2.0,0.1604294478527606,cheese,9.99
8225,2022-03-06 12:00:00,69dd6cf3-06a7-4485-ac73-500e515039bf,0.39,3.2125855885229866,0.6529874213836478,frozen,7.19
9082,2022-03-06 18:00:00,9dac884e-865a-45a3-bb58-28bf02891ccf,0.98,4.0,1.4359375,meat,18.49
1046,2022-03-01 16:00:00,8720a88c-fc1f-449d-bfec-54e3d45cbd64,0.74,3.2125855885229866,0.5600630914826498,condiments and sauces,8.19
4537,2022-03-03 19:00:00,3cf08828-7cff-47f4-8bfb-1c7aa3b2b407,0.28,3.2125855885229866,-0.7511858974358974,personal care,3.49
4265,2022-03-03 17:00:00,4cb50be9-8c24-458c-b32b-99ad0a236af6,0.26,2.0,0.6215189873417721,personal care,16.19
9242,2022-03-06 19:00:00,bfb96a0d-e52e-4a88-8aba-ecb79e39441d,0.97,1.0,-0.072700964630225,vegetables,1.99
1568,2022-03-02 09:00:00,54b479bb-7e7a-4e63-8bef-1a1e17fefd1f,0.435,3.2125855885229866,-0.6729003021148036,frozen,8.19
462,2022-03-01 12:00:00,251f34cc-0a9b-4b24-b20c-fc19439e250b,0.74,4.0,-0.5377210884353741,refrigerated items,3.49
743,2022-03-01 14:00:00,32a2ea10-8010-4046-bf34-2117692ebd4a,0.96,2.0,0.8169688385269122,snacks,3.19
222,2022-03-01 10:00:00,6f90377e-bf10-44bb-8b76-d4b3a520f31e,0.26,3.2125855885229866,1.2843137254901962,cheese,6.49
8147,2022-03-06 11:00:00,e192d4a3-6458-41ae-a6ba-135ed1d4f0fc,0.09,3.2125855885229866,-1.4038,baking,2.19
4842,2022-03-04 10:00:00,7db29f14-00ad-4f09-bbce-ea391de6d675,0.63,3.2125855885229866,1.0712881355932202,condiments and sauces,3.99
9340,2022-03-07 09:00:00,73d0a0ef-a231-49ae-acea-42c67eda1e4f,0.7649999999999999,3.2125855885229866,0.3782142857142857,seafood,10.19
